6.13	14	-3	14.4
6.17	14	-3	14.1
6.21	17	-2	14.5
6.25	34	12	15.1
6.29	37	81	15.5
6.33	37	208	16.2
6.38	40	499	17.3
6.42	46	700	18.5
6.46	52	792	20.5
6.50	60	853	22.3
6.54	60	855	23.5
6.58	61	721	24.5
6.63	63	664	25.4
6.67	64	605	25.7
6.71	73	434	25.9
6.75	81	166	24.7
6.79	79	29	23.3
6.83	78	-3	21.2
6.88	56	-4	19.4
6.92	43	-4	17.2
6.96	32	-4	16.1
7.00	24	-4	15.5
7.04	1	-3	15.7
7.08	1	-3	15.2
7.13	1	-3	14.5
7.17	1	-3	14
7.21	1	-2	13.8
7.25	1	30	14.1
7.29	5	88	15
7.33	14	309	17.7
7.38	31	457	20.1
7.42	40	647	22.6
7.46	40	592	23.3
7.50	50	753	24.5
7.54	65	762	25.5
7.58	68	722	25.9
7.63	80	515	25.7
7.67	77	378	25.3
7.71	68	281	25
7.75	70	96	23.7
7.79	60	29	22.5
7.83	41	-3	20.8
7.88	26	-3	18.9
7.92	18	-3	18.3
7.96	15	-3	17.3
8.00	14	-3	16.6
8.04	11	-3	16.2
8.08	9	-3	15.2
8.13	6	-3	14.7
8.17	3	-3	15.1
8.21	3	-2	15.5
8.25	3	20	15.9
8.29	6	83	16.5
8.33	18	203	17.8
8.38	22	358	19.3
8.42	26	402	20.7
8.46	11	345	21.7
8.50	9	286	21.8
8.54	22	298	22.4
8.58	26	263	22.4
8.63	38	280	22.4
8.67	38	219	22.9
8.71	15	51	22.3
8.75	26	23	22
8.79	43	6	21.6
8.83	37	-3	21
8.88	15	-4	19.9
8.92	7	-5	19.8
8.96	2	-4	19.6
9.00	1	-4	19.4
9.04	0	-4	19.1
9.08	0	-4	18.9
9.13	1	-4	18.6
9.17	1	-4	18.1
9.21	3	-3	18.1
9.25	8	12	18.5
9.29	9	37	18.8
9.33	9	44	18.5
9.38	9	88	18.7
9.42	10	134	19.5
9.46	19	208	19.7
9.50	19	150	19.6
9.54	22	252	20.2
9.58	21	342	21.1
9.63	16	350	21.7
9.67	23	418	22.8
9.71	14	207	22.1
9.75	10	147	21.9
9.79	11	25	20.5
9.83	17	-3	18.7
9.87	15	-4	17.4
9.92	11	-4	17.1
9.96	7	-4	17.9
10.00	6	-4	18.2
10.04	3	-4	18.5
10.08	2	-4	18.3
