51.49	1.18	14.18	12.11	7.14	11.81	2.1	0.07	59.77	-29.8
51.62	1.16	13.76	12.11	7.11	11.81	2.07	0.07	59.77	-29.8
51.7	1.27	13.86	12.2	6.99	11.89	2.16	0.09	59.77	-29.8
51.5	1.19	13.63	12.1	6.73	11.88	2.06	0.06	59.77	-29.8
51.14	1.26	13.74	12.13	6.63	11.92	2.09	0.07	59.77	-29.8
50.94	1.24	13.65	12.03	6.87	11.87	2.05	0.05	59.77	-29.8
51.25	1.21	14.3	12.4	7.1	12.11	2.15	0.06	59.77	-29.8
51.52	1.26	14.49	12.4	7.27	11.98	2.09	0.05	59.77	-29.8
51.83	1.28	13.82	12.59	7.04	12.09	2.16	0.07	59.77	-29.8
51.38	1.22	13.74	12.17	6.87	11.84	2.13	0.09	59.77	-29.8
52.06	1.21	14.15	12.36	7.03	11.69	2.1	0.04	59.75	-29.87
50.9	1.13	14.78	11.66	7.46	11.87	2.05	0.05	59.75	-29.87
52.07	1.28	14.1	12.4	7.53	12.17	2.07	0.05	59.75	-29.87
50.49	1.23	13.97	12.2	6.67	12.01	2.04	0.04	59.75	-29.87
50.48	1.07	14.4	11.72	7.34	12.08	2.05	0.05	59.75	-29.87
50.1	1.09	14.67	11.8	7.5	12.15	2.07	0.05	59.75	-29.87
51.17	1.08	14.38	11.14	7.72	12.63	1.93	0.07	59.75	-29.87
50.61	1.11	14.29	11.93	7.64	12.01	2.04	0.05	59.75	-29.87
50.52	1.17	14.68	11.49	7.35	11.92	2	0.05	59.75	-29.87
50.99	1.13	13.78	12.12	7.13	11.99	2.04	0.06	59.75	-29.87
49.94	1.13	14.26	11.79	7.41	12.1	1.98	0.04	59.75	-29.87
51.22	1.09	14.96	11.85	7.37	11.93	2.03	0.03	59.75	-29.87
51.12	1.08	14.11	11.7	7.53	12.21	2.03	0.04	59.75	-29.87
51.28	1.08	14.23	11.88	7.3	12.11	2.04	0.06	59.75	-29.87
49.97	1.1	14.37	11.57	7.45	12.04	2.02	0.03	59.75	-29.87
50.47	1.02	14.38	11.02	7.5	12.37	1.98	0.05	59.75	-29.87
50.88	1.08	14.47	11.72	7.68	12.11	2.07	0.05	59.75	-29.87
